Time,org_x,org_y,org_z,xvec_x,xvec_y,xvec_z,zvec_x,zvec_y,zvec_z
0.000000,-0.146392,0.420002,0.697481,-0.140917,0.372557,0.664382,-0.139899,0.370763,0.723818,-0.061368,-0.186603,0.674663
0.010000,-0.146398,0.420011,0.697465,-0.140922,0.372561,0.664368,-0.139908,0.370770,0.723805,-0.061382,-0.186595,0.674674
0.020000,-0.146396,0.420019,0.697440,-0.140929,0.372577,0.664348,-0.139909,0.370785,0.723789,-0.061399,-0.186640,0.674681
0.030000,-0.146399,0.420025,0.697429,-0.140930,0.372577,0.664320,-0.139912,0.370789,0.723770,-0.061433,-0.186657,0.674691
0.040000,-0.146399,0.420031,0.697404,-0.140933,0.372569,0.664298,-0.139905,0.370782,0.723752,-0.061447,-0.186713,0.674693
0.050000,-0.146396,0.420023,0.697372,-0.140942,0.372557,0.664274,-0.139907,0.370781,0.723728,-0.061394,-0.186584,0.674690
0.060000,-0.146392,0.420025,0.697349,-0.140936,0.372556,0.664246,-0.139894,0.370811,0.723696,-0.061476,-0.186748,0.674705
0.070000,-0.146387,0.420020,0.697320,-0.140932,0.372554,0.664223,-0.139881,0.370815,0.723667,-0.061444,-0.186678,0.674695
0.080000,-0.146383,0.420016,0.697280,-0.140933,0.372540,0.664181,-0.139857,0.370827,0.723632,-0.061500,-0.186818,0.674718
0.090000,-0.146357,0.420042,0.697232,-0.140923,0.372535,0.664150,-0.139869,0.370811,0.723564,-0.061521,-0.186814,0.674738
0.100000,-0.146354,0.420034,0.697194,-0.140923,0.372522,0.664123,-0.139865,0.370806,0.723537,-0.061550,-0.186875,0.674747
0.110000,-0.146348,0.420041,0.697162,-0.140922,0.372519,0.664078,-0.139854,0.370804,0.723505,-0.061492,-0.186785,0.674733
0.120000,-0.146331,0.420037,0.697124,-0.140921,0.372505,0.664048,-0.139838,0.370806,0.723475,-0.061534,-0.186813,0.674746
0.130000,-0.146319,0.420034,0.697074,-0.140916,0.372496,0.663990,-0.139817,0.370860,0.723415,-0.061511,-0.186810,0.674737
0.140000,-0.146309,0.420018,0.697040,-0.140913,0.372474,0.663958,-0.139785,0.370874,0.723368,-0.061560,-0.186880,0.674754
0.150000,-0.146295,0.420020,0.696981,-0.140911,0.372451,0.663923,-0.139773,0.370855,0.723332,-0.061463,-0.186703,0.674716
0.160000,-0.146294,0.420001,0.696932,-0.140895,0.372461,0.663879,-0.139766,0.370860,0.723300,-0.061531,-0.186840,0.674734
0.170000,-0.146293,0.419994,0.696906,-0.140891,0.372460,0.663843,-0.139755,0.370868,0.723275,-0.061558,-0.186843,0.674752
0.180000,-0.146284,0.420000,0.696886,-0.140882,0.372458,0.663827,-0.139742,0.370860,0.723252,-0.062747,-0.188678,0.675342
0.190000,-0.146272,0.420002,0.696879,-0.140869,0.372475,0.663802,-0.139729,0.370855,0.723243,-0.074211,-0.209178,0.681550
0.200000,-0.146268,0.420010,0.696870,-0.140862,0.372471,0.663791,-0.139723,0.370865,0.723229,-0.062762,-0.188696,0.675342
0.210000,-0.146260,0.420027,0.696857,-0.140863,0.372493,0.663769,-0.139712,0.370869,0.723220,-0.062768,-0.188674,0.675331
