gyrox1,gyroy1,gyroz1,accelx1,accely1,accelz1,Time
-9.725190839694656,-2.717557251908397,1.3893129770992367,-0.459716796875,-0.115234375,-0.110107421875,0.0
-9.587786259541986,-2.9618320610687023,1.4198473282442747,-0.455322265625,-0.11328125,-0.11279296875,0.0017
-9.755725190839694,-2.8244274809160306,1.3740458015267176,-0.457275390625,-0.115478515625,-0.112060546875,0.0034
-9.86259541984733,-2.9770992366412212,1.1603053435114503,-0.46044921875,-0.114501953125,-0.11181640625,0.0050999999999999995
-10.045801526717558,-3.068702290076336,1.2061068702290076,-0.45458984375,-0.114501953125,-0.115478515625,0.0068
-10.290076335877863,-3.236641221374046,1.3587786259541985,-0.458251953125,-0.11279296875,-0.11572265625,0.008499999999999999
-9.877862595419847,-2.900763358778626,1.251908396946565,-0.4580078125,-0.10986328125,-0.111328125,0.010199999999999999
-10.030534351145038,-2.9923664122137406,1.0076335877862594,-0.456298828125,-0.115478515625,-0.114013671875,0.011899999999999999
-9.969465648854962,-3.0381679389312977,1.1603053435114503,-0.462158203125,-0.113525390625,-0.11328125,0.0136
-9.83206106870229,-2.9160305343511452,0.9312977099236641,-0.458740234375,-0.10693359375,-0.112548828125,0.0153
-9.908396946564885,-2.8244274809160306,1.0381679389312977,-0.4638671875,-0.109130859375,-0.115234375,0.016999999999999998
-9.587786259541986,-2.687022900763359,0.8091603053435115,-0.452392578125,-0.106689453125,-0.101318359375,0.018699999999999998
-9.633587786259541,-2.50381679389313,0.8854961832061069,-0.462158203125,-0.107666015625,-0.10595703125,0.020399999999999998
-9.099236641221374,-2.3969465648854964,0.8091603053435115,-0.460693359375,-0.10986328125,-0.106201171875,0.022099999999999998
-8.916030534351146,-2.213740458015267,0.6717557251908397,-0.4619140625,-0.111328125,-0.106201171875,0.023799999999999998
-8.793893129770993,-2.1526717557251906,0.6717557251908397,-0.462158203125,-0.1083984375,-0.108642578125,0.0255
-8.396946564885496,-1.786259541984733,0.7938931297709924,-0.463134765625,-0.107666015625,-0.112060546875,0.0272
-8.244274809160306,-1.5114503816793894,0.5038167938931297,-0.46337890625,-0.10693359375,-0.110107421875,0.0289
-8.0,-1.450381679389313,0.3969465648854962,-0.459228515625,-0.10400390625,-0.107666015625,0.0306
-7.893129770992366,-1.3129770992366412,0.22900763358778625,-0.460205078125,-0.09814453125,-0.114501953125,0.032299999999999995
-7.557251908396947,-1.2366412213740459,0.22900763358778625,-0.456298828125,-0.103271484375,-0.1015625,0.033999999999999996
-7.312977099236641,-1.3282442748091603,0.07633587786259542,-0.457763671875,-0.099365234375,-0.107666015625,0.035699999999999996
-7.221374045801527,-1.282442748091603,0.4122137404580153,-0.460205078125,-0.0986328125,-0.11376953125,0.037399999999999996
-6.687022900763359,-1.0534351145038168,0.10687022900763359,-0.457763671875,-0.10693359375,-0.110595703125,0.039099999999999996
-6.564885496183206,-1.1145038167938932,0.15267175572519084,-0.456298828125,-0.100830078125,-0.110595703125,0.040799999999999996
-6.061068702290076,-0.9312977099236641,0.061068702290076333,-0.45556640625,-0.103759765625,-0.10009765625,0.042499999999999996
-5.8320610687022905,-0.7633587786259542,0.0916030534351145,-0.455078125,-0.09521484375,-0.1162109375,0.044199999999999996
-5.801526717557252,-0.7175572519083969,-0.1984732824427481,-0.4580078125,-0.1044921875,-0.108154296875,0.045899999999999996
-5.374045801526718,-0.9007633587786259,0.13740458015267176,-0.457275390625,-0.099365234375,-0.097412109375,0.047599999999999996
-5.404580152671755,-0.6717557251908397,-0.16793893129770993,-0.4609375,-0.1025390625,-0.110107421875,0.0493
-4.885496183206107,-0.5190839694656488,0.015267175572519083,-0.46044921875,-0.09912109375,-0.103759765625,0.051
-4.488549618320611,-0.2595419847328244,0.10687022900763359,-0.45556640625,-0.101318359375,-0.106201171875,0.0527
-4.244274809160306,-0.22900763358778625,0.061068702290076333,-0.4560546875,-0.0947265625,-0.116455078125,0.0544
-4.076335877862595,-0.030534351145038167,-0.22900763358778625,-0.453857421875,-0.1044921875,-0.10986328125,0.0561
-3.816793893129771,-0.015267175572519083,-0.015267175572519083,-0.45166015625,-0.101318359375,-0.115234375,0.0578
-3.5572519083969465,-0.16793893129770993,-0.04580152671755725,-0.4560546875,-0.099365234375,-0.114990234375,0.0595
-3.1755725190839694,-0.183206106870229,-0.15267175572519084,-0.453857421875,-0.097900390625,-0.104736328125,0.0612
-2.7786259541984735,0.0,-0.21374045801526717,-0.453369140625,-0.09765625,-0.113525390625,0.0629
-2.519083969465649,0.16793893129770993,-0.04580152671755725,-0.45458984375,-0.098876953125,-0.11376953125,0.06459999999999999
-2.4732824427480917,0.10687022900763359,-0.12213740458015267,-0.453369140625,-0.09814453125,-0.10205078125,0.0663
-2.0610687022900764,0.16793893129770993,-0.015267175572519083,-0.451171875,-0.10595703125,-0.108642578125,0.06799999999999999
-1.5877862595419847,0.33587786259541985,-0.13740458015267176,-0.45654296875,-0.104248046875,-0.10791015625,0.0697
-1.2213740458015268,0.2748091603053435,-0.15267175572519084,-0.4521484375,-0.102783203125,-0.107421875,0.07139999999999999
-1.2213740458015268,0.183206106870229,-0.04580152671755725,-0.453125,-0.1025390625,-0.11279296875,0.0731
-1.2213740458015268,0.4732824427480916,-0.12213740458015267,-0.457763671875,-0.1044921875,-0.112548828125,0.07479999999999999
-0.8702290076335878,0.5038167938931297,-0.12213740458015267,-0.45263671875,-0.109130859375,-0.106689453125,0.0765
-0.33587786259541985,0.7938931297709924,-0.0916030534351145,-0.453369140625,-0.107421875,-0.109375,0.07819999999999999
-0.2595419847328244,0.7480916030534351,-0.183206106870229,-0.461181640625,-0.10595703125,-0.10595703125,0.0799
-0.07633587786259542,0.5954198473282443,0.030534351145038167,-0.45947265625,-0.10400390625,-0.103271484375,0.08159999999999999
-0.13740458015267176,0.8702290076335878,-0.030534351145038167,-0.459716796875,-0.1044921875,-0.11328125,0.0833
-0.07633587786259542,1.1603053435114503,0.0,-0.45849609375,-0.1064453125,-0.110107421875,0.08499999999999999
0.10687022900763359,1.0229007633587786,-0.04580152671755725,-0.455078125,-0.108642578125,-0.101318359375,0.0867
0.12213740458015267,1.0381679389312977,-0.15267175572519084,-0.456787109375,-0.11328125,-0.098876953125,0.08839999999999999
