Time,org_x,org_y,org_z,xvec_x,xvec_y,xvec_z,zvec_x,zvec_y,zvec_z
0.000000,-0.354484,0.450739,0.660987,-0.348496,0.399996,0.633637,-0.344304,0.403470,0.692226,-0.182255,-0.156993,0.610198,,,,,,,,,,,,,,,,,,,,,
0.010000,-0.354486,0.450741,0.660987,-0.348484,0.399984,0.633647,-0.344312,0.403451,0.692234,-0.182089,-0.156719,0.610181,,,,,,,,,,,,,,,,,,,,,
0.020000,-0.354473,0.450743,0.660988,-0.348447,0.400016,0.633639,-0.344294,0.403469,0.692235,-0.182098,-0.156764,0.610244,,,,,,,,,,,,,,,,,,,,,
0.030000,-0.354464,0.450741,0.660990,-0.348472,0.399995,0.633648,-0.344292,0.403458,0.692234,-0.182122,-0.156834,0.610308,,,,,,,,,,,,,,,,,,,,,
0.040000,-0.354461,0.450750,0.660996,-0.348466,0.400000,0.633649,-0.344263,0.403485,0.692234,-0.182348,-0.157475,0.610547,,,,,,,,,,,,,,,,,,,,,
0.050000,-0.354453,0.450770,0.661002,-0.348416,0.400062,0.633640,-0.344254,0.403490,0.692235,,,,,,,,,,,,,,,,,,,,,,,,
0.060000,-0.354435,0.450772,0.661010,-0.348410,0.400070,0.633639,-0.344262,0.403472,0.692239,,,,,,,,,,,,,,,,,,,,,,,,
0.070000,-0.354414,0.450801,0.661013,-0.348388,0.400094,0.633630,-0.344224,0.403511,0.692240,-0.185085,-0.163323,0.610540,,,,,,,,,,,,,,,,,,,,,
0.080000,-0.354415,0.450788,0.661009,-0.348392,0.400082,0.633644,-0.344222,0.403504,0.692244,-0.184999,-0.163854,0.610595,,,,,,,,,,,,,,,,,,,,,
0.090000,-0.354398,0.450801,0.661008,-0.348367,0.400091,0.633628,-0.344217,0.403493,0.692224,-0.182060,-0.158963,0.609226,,,,,,,,,,,,,,,,,,,,,
0.100000,-0.354394,0.450772,0.661005,-0.348352,0.400090,0.633625,-0.344206,0.403488,0.692219,-0.182367,-0.159431,0.609484,,,,,,,,,,,,,,,,,,,,,
