gyrox1,gyroy1,gyroz1,accelx1,accely1,accelz1,Time
0.7175572519083969,-0.549618320610687,-0.44274809160305345,-0.4384765625,-0.050048828125,-0.260986328125,0.0
0.2748091603053435,-0.6717557251908397,-0.13740458015267176,-0.442626953125,-0.05322265625,-0.267578125,0.0017
0.6259541984732825,-0.5801526717557252,-0.3816793893129771,-0.438720703125,-0.053955078125,-0.264404296875,0.0034
0.366412213740458,-0.5190839694656488,-0.10687022900763359,-0.43994140625,-0.052490234375,-0.2626953125,0.0050999999999999995
0.2900763358778626,-0.4580152671755725,-0.13740458015267176,-0.44287109375,-0.05322265625,-0.263671875,0.0068
0.030534351145038167,-0.5343511450381679,-0.2900763358778626,-0.438720703125,-0.052490234375,-0.264892578125,0.008499999999999999
0.0,-0.33587786259541985,-0.24427480916030533,-0.4443359375,-0.052490234375,-0.2578125,0.010199999999999999
-0.0916030534351145,-0.2900763358778626,-0.2900763358778626,-0.440185546875,-0.058837890625,-0.265380859375,0.011899999999999999
-0.10687022900763359,-0.183206106870229,-0.10687022900763359,-0.44189453125,-0.05859375,-0.264404296875,0.0136
-0.12213740458015267,-0.2748091603053435,-0.0916030534351145,-0.439453125,-0.0546875,-0.263671875,0.0153
-0.32061068702290074,0.0,-0.16793893129770993,-0.439697265625,-0.054443359375,-0.26611328125,0.016999999999999998
-0.3969465648854962,0.04580152671755725,-0.24427480916030533,-0.443359375,-0.054443359375,-0.260009765625,0.018699999999999998
-0.5190839694656488,0.0,-0.366412213740458,-0.441650390625,-0.04931640625,-0.259033203125,0.020399999999999998
-0.4122137404580153,0.366412213740458,-0.10687022900763359,-0.444091796875,-0.0537109375,-0.25732421875,0.022099999999999998
-0.6106870229007634,0.4580152671755725,-0.16793893129770993,-0.4423828125,-0.055419921875,-0.2578125,0.023799999999999998
-0.9465648854961832,0.22900763358778625,-0.12213740458015267,-0.444580078125,-0.0517578125,-0.265380859375,0.0255
-0.7633587786259542,0.16793893129770993,-0.24427480916030533,-0.44287109375,-0.0537109375,-0.26708984375,0.0272
-0.5343511450381679,0.32061068702290074,-0.3816793893129771,-0.44580078125,-0.05615234375,-0.264404296875,0.0289
-0.8091603053435115,0.33587786259541985,-0.4580152671755725,-0.44921875,-0.0546875,-0.2685546875,0.0306
-0.7633587786259542,0.33587786259541985,-0.366412213740458,-0.4443359375,-0.0498046875,-0.267822265625,0.032299999999999995
-0.8396946564885496,0.48854961832061067,-0.44274809160305345,-0.442138671875,-0.0537109375,-0.25830078125,0.033999999999999996
-0.916030534351145,0.2900763358778626,-0.2748091603053435,-0.4375,-0.051513671875,-0.262939453125,0.035699999999999996
-0.9923664122137404,0.2595419847328244,-0.549618320610687,-0.44384765625,-0.05224609375,-0.265625,0.037399999999999996
-0.7480916030534351,0.4122137404580153,-0.5190839694656488,-0.441162109375,-0.052001953125,-0.265625,0.039099999999999996
-0.6717557251908397,0.3816793893129771,-0.5954198473282443,-0.44482421875,-0.054931640625,-0.259765625,0.040799999999999996
-0.7175572519083969,0.44274809160305345,-0.6412213740458015,-0.43408203125,-0.05322265625,-0.2587890625,0.042499999999999996
-0.7480916030534351,0.4732824427480916,-0.732824427480916,-0.442138671875,-0.058837890625,-0.264404296875,0.044199999999999996
-0.7786259541984732,0.4732824427480916,-0.7175572519083969,-0.44580078125,-0.04833984375,-0.25927734375,0.045899999999999996
-0.3511450381679389,0.5801526717557252,-0.5343511450381679,-0.44482421875,-0.054443359375,-0.26123046875,0.047599999999999996
-0.3816793893129771,0.6564885496183206,-0.6412213740458015,-0.44580078125,-0.049560546875,-0.26318359375,0.0493
-0.32061068702290074,0.5648854961832062,-0.9312977099236641,-0.447021484375,-0.052001953125,-0.26953125,0.051
-0.3816793893129771,0.48854961832061067,-0.7022900763358778,-0.447265625,-0.048828125,-0.268310546875,0.0527
-0.3816793893129771,0.5038167938931297,-0.8244274809160306,-0.440673828125,-0.04296875,-0.263427734375,0.0544
-0.2595419847328244,0.7938931297709924,-0.8244274809160306,-0.439208984375,-0.046142578125,-0.2607421875,0.0561
-0.183206106870229,0.5954198473282443,-0.9007633587786259,-0.44091796875,-0.048828125,-0.26025390625,0.0578
-0.061068702290076333,0.5648854961832062,-0.916030534351145,-0.43994140625,-0.0458984375,-0.26708984375,0.0595
0.0916030534351145,0.6870229007633588,-0.8854961832061069,-0.441650390625,-0.046875,-0.259765625,0.0612
0.22900763358778625,0.8091603053435115,-0.7175572519083969,-0.44384765625,-0.05029296875,-0.26123046875,0.0629
0.061068702290076333,0.6564885496183206,-0.9312977099236641,-0.441162109375,-0.045166015625,-0.26171875,0.06459999999999999
-0.1984732824427481,0.6106870229007634,-0.8854961832061069,-0.441162109375,-0.04931640625,-0.265625,0.0663
0.2595419847328244,0.8396946564885496,-0.9007633587786259,-0.440673828125,-0.04736328125,-0.258056640625,0.06799999999999999
0.015267175572519083,0.7938931297709924,-0.9923664122137404,-0.44287109375,-0.046630859375,-0.259033203125,0.0697
0.15267175572519084,0.5343511450381679,-0.9923664122137404,-0.442138671875,-0.053955078125,-0.263916015625,0.07139999999999999
0.3511450381679389,0.3969465648854962,-0.7480916030534351,-0.44140625,-0.046875,-0.263427734375,0.0731
0.2748091603053435,0.732824427480916,-1.0687022900763359,-0.4375,-0.046142578125,-0.26318359375,0.07479999999999999
0.4732824427480916,0.5954198473282443,-0.916030534351145,-0.442138671875,-0.048095703125,-0.272216796875,0.0765
0.5038167938931297,0.48854961832061067,-1.0687022900763359,-0.432861328125,-0.046630859375,-0.265869140625,0.07819999999999999
